"","cellid","coretype","primary","secondary"
"1629","Y01211545","Core","Pvalb Gpx3","0"
"1630","Y01211546","Core","Pvalb Gpx3","0"
"1631","Y01211547","Core","Pvalb Wt1","0"
"1632","Y01211548","Core","Pvalb Gpx3","0"
"1633","Y02121541","Core","Pvalb Wt1","0"
"1634","Y02121542","Core","Pvalb Tpbg","0"
"1635","Y02121543","Transition","Pvalb Tacr3","Pvalb Wt1"
"1636","Y02121544","Core","Sst Cbln4","0"
"1637","Y02121545","Core","Pvalb Tacr3","0"
"1638","Y02121546","Core","Pvalb Gpx3","0"
"1639","Y02121547","Core","Pvalb Tacr3","0"
"1640","Y02121548","Core","Pvalb Tacr3","0"
"1641","Y02121549","Core","Pvalb Rspo2","0"
"1642","Y02121550","Transition","Pvalb Rspo2","Pvalb Gpx3"
"1643","Y02121551","Core","Pvalb Gpx3","0"
"1644","Y02121552","Transition","Pvalb Tacr3","Pvalb Gpx3"
"1645","Y02121553","Core","Pvalb Wt1","0"
"1646","Y02121554","Core","Pvalb Gpx3","0"
"1647","Y02121555","Core","Pvalb Gpx3","0"
"1648","Y02121556","Core","Pvalb Tacr3","0"
"1649","Y11041401","Transition","Pvalb Wt1","Pvalb Tacr3"
"1650","Y11041402","Core","Pvalb Wt1","0"
"1651","Y11041403","Core","Pvalb Obox3","0"
"1652","Y11041404","Transition","Pvalb Wt1","Pvalb Gpx3"
"1653","Y11041405","Core","Pvalb Wt1","0"
"1654","Y11041406","Core","Pvalb Tacr3","0"
"1655","Y11041407","Core","Pvalb Tacr3","0"
"1656","Y11041408","Core","Pvalb Rspo2","0"
"1657","Y11041409","Core","Pvalb Rspo2","0"
"1658","Y11041410","Core","Pvalb Wt1","0"
"1659","Y11041411","Core","Pvalb Wt1","0"
"1660","Y11041412","Core","Pvalb Gpx3","0"
"1661","Y11041413","Core","Pvalb Gpx3","0"
"1662","Y11041414","Core","Pvalb Rspo2","0"
"1663","Y11041415","Core","Pvalb Rspo2","0"
"1664","Y11041416","Core","Pvalb Tacr3","0"
"1665","Y11041417","Core","Oligo Opalin","0"
